,版標流水號,貼標開始,貼標結束,是否結束,花費時間,貼標人數(人),貼標ID,operator
0,10,2021/12/22 下午 5:38:00,,尚未完成,,2,test1,test1
1,10,2021/12/22 下午 5:38:08,2021/12/22 下午 5:38:44,TRUE,0.6052166667,2,test2,test2
2,11,2021/12/22 下午 5:38:23,,尚未完成,,1,test3,test3
3,12,2021/12/22 下午 5:39:32,2021/12/22 下午 5:38:53,TRUE,-0.6457333333,1,test4,test4
4,13,2021/12/22 下午 5:39:40,2021/12/22 下午 5:39:48,TRUE,0.13635,1,test5,test5
5,14,,2021/12/22 下午 5:39:55,尚未完成,,1,test6,test6
0,1,2021/12/22 下午 5:38:00,,尚未完成,,2,test1,test1
1,1,2021/12/22 下午 5:38:08,2021/12/22 下午 5:38:44,TRUE,0.6052166667,2,test2,test2
2,2,2021/12/22 下午 5:38:23,,尚未完成,,1,test3,test3
3,3,2021/12/22 下午 5:39:32,2021/12/22 下午 5:38:53,TRUE,-0.6457333333,1,test4,test4
4,4,2021/12/22 下午 5:39:40,2021/12/22 下午 5:39:48,TRUE,0.13635,1,test5,test5
5,5,,2021/12/22 下午 5:39:55,尚未完成,,1,test6,test6
0,6,2021/12/22 下午 5:38:23,,尚未完成,,2,test3,test3
1,6,2021/12/22 下午 5:39:32,2021/12/22 下午 5:38:53,TRUE,-0.6457333333,2,test1,test1
2,7,2021/12/22 下午 5:39:40,2021/12/22 下午 5:39:48,TRUE,0.13635,2,test5,test5
3,7,2021/12/22 下午 5:40:00,,尚未完成,,2,test1,test1
4,8,,2021/12/22 下午 5:39:55,尚未完成,,1,test6,test6
0,9,2021/12/22 下午 5:38:00,,尚未完成,,3,test1,test1
1,9,2021/12/22 下午 5:38:08,2021/12/22 下午 5:38:44,TRUE,0.6052166667,3,test2,test2
2,9,2021/12/22 下午 5:38:23,,尚未完成,,3,test3,test3
3,10,2021/12/22 下午 5:39:32,2021/12/22 下午 5:38:53,TRUE,-0.6457333333,3,test1,test1
4,10,2021/12/22 下午 5:39:40,2021/12/22 下午 5:39:48,TRUE,0.13635,3,test2,test2
5,10,,2021/12/22 下午 5:39:55,尚未完成,,3,test3,test3
