員編,INbound ID,國碼,"是否
拒收",狀態,備註,Cancel後新單,QTY,收發時間,DATE,HOUR
126159,INTWK0002202250051,4710201521919,,,收下,-,50,2022/3/1  8:36:02,2022/3/1,8
126159,INTWK0002202170287,8809707275214,,,收下,-,50,2022/3/1  8:35:53,2022/3/1,8
126159,INTWK0002202170298,8809707275221,,,收下,-,50,2022/3/1  8:36:02,2022/3/1,8
126159,INTWK0002202170288,8809707268131,,,收下,-,20,2022/3/1  8:36:42,2022/3/1,8
126159,INTWK0002202170297,8809612853484,,,收下,-,20,2022/3/1  8:37:10,2022/3/1,8
126159,INTWK0002202170307,8809612851565,,,收下,-,15,2022/3/1  8:37:30,2022/3/1,8
126159,INTWK0002202170292,8809612852449,,,收下,-,10,2022/3/1  8:37:44,2022/3/1,8
126159,INTWK0002202170286,8809612853934,,,收下,-,15,2022/3/1  8:37:59,2022/3/1,8
126159,INTWK0002202170314,8809612851350,,,收下,-,30,2022/3/1  8:38:11,2022/3/1,8
126159,INTWK0002202170306,8809612851329,,,收下,-,15,2022/3/1  8:38:22,2022/3/1,8
126159,INTWK0002202170295,8809612850339,,,收下,-,30,2022/3/1  8:38:32,2022/3/1,8
126159,INTWK0002202170312,8809707251942,,,收下,-,150,2022/3/1  8:39:04,2022/3/1,8
126159,INTWK0002202170313,8809612856614,,,收下,-,10,2022/3/1  8:39:18,2022/3/1,8
126159,INTWK0002202170283,8809612841894,,,收下,-,10,2022/3/1  8:39:45,2022/3/1,8
126159,INTWK0002202170302,8809612851862,,,收下,-,20,2022/3/1  8:40:13,2022/3/1,8
126159,INTWK0002202170311,8809612851619,,,收下,-,25,2022/3/1  8:40:29,2022/3/1,8
126159,INTWK0002202170294,8809612851213,,,收下,-,40,2022/3/1  8:40:53,2022/3/1,8
126159,INTWK0002202170293,8809612850391,,,收下,-,20,2022/3/1  8:41:04,2022/3/1,8
126159,INTWK0002202170284,8809612851633,,,收下,-,10,2022/3/1  8:41:45,2022/3/1,8
126159,INTWK0002202170303,8809612851510,,,收下,-,10,2022/3/1  8:42:03,2022/3/1,8
126159,INTWK0002202170308,8809612851695,,,收下,-,13,2022/3/1  8:42:13,2022/3/1,8
126159,INTWK0002202170282,8809707267325,,,收下,-,30,2022/3/1  8:42:41,2022/3/1,8
126159,INTWK0002202170299,8809612877855,,,收下,-,5,2022/3/1  8:43:02,2022/3/1,8
126159,INTWK0002202170290,8809612851220,,,收下,-,20,2022/3/1  8:43:21,2022/3/1,8
126159,INTWK0002202170300,8809707252352,,,收下,-,168,2022/3/1  8:44:48,2022/3/1,8
126159,INTWK0002202170279,8809707251973,,,收下,-,80,2022/3/1  8:45:22,2022/3/1,8
126159,INTWK0002202170280,8809612858366,,,收下,-,20,2022/3/1  8:45:31,2022/3/1,8
126159,INTWK0002202170278,8809612841962,,,收下,-,3,2022/3/1  8:45:54,2022/3/1,8
126159,INTWK0002202170285,8809612842068,,,收下,-,10,2022/3/1  8:46:04,2022/3/1,8
126159,INTWK0002202170281,8809612851503,,,收下,-,20,2022/3/1  8:46:08,2022/3/1,8
126159,INTWK0002202170301,8809612856584,,,收下,-,10,2022/3/1  8:46:31,2022/3/1,8
126159,INTWK0002202170309,8809707252819,,,收下,-,150,2022/3/1  8:46:50,2022/3/1,8
126159,INTWK0002202170305,8809707252833,,,收下,-,50,2022/3/1  8:47:19,2022/3/1,8
126159,INTWK0002202170304,8809707252321,,,收下,-,500,2022/3/1  8:47:28,2022/3/1,8
126159,INTWK0002202170289,8809707252710,,,收下,-,30,2022/3/1  8:47:41,2022/3/1,8
126159,INTWK0002202170277,8809707275276,,,收下,-,80,2022/3/1  8:48:41,2022/3/1,8
126159,INTWK0002202170310,8809516804384,,,收下,-,10,2022/3/1  8:48:57,2022/3/1,8
126159,INTWK0002202170296,8809652905631,,,收下,-,100,2022/3/1  8:49:35,2022/3/1,8
126159,INTWK0002202170291,8809612846240,,,收下,-,150,2022/3/1  8:49:45,2022/3/1,8
