,版標流水號,貼標開始,貼標結束,是否結束,花費時間,貼標人數(人),貼標ID,operator
0,TTWK000542705,2022/5/20 8:05:34,2022/5/20 8:10:42,TRUE,5.128666667,1,42436,42436
1,TTWK000559785,2022/5/20 8:05:41,2022/5/20 8:06:29,TRUE,0.7986333333,1,42532,42532
2,TTWK000559784,2022/5/20 8:06:39,2022/5/20 8:07:36,TRUE,0.9471833333,1,42532,42532
3,TTWK000542700,2022/5/20 8:08:56,2022/5/20 8:09:46,TRUE,0.8254833333,1,42532,42532
4,TTWK000559786,2022/5/20 8:10:02,,尚未完成,,1,42532,42532
5,TTWK000542702,2022/5/20 8:10:56,2022/5/20 8:12:21,TRUE,1.428216667,1,42532,42532
6,TTWK000542706,2022/5/20 8:10:57,2022/5/20 8:11:35,TRUE,0.6309166667,1,42436,42436
7,TTWK000559787,2022/5/20 8:12:08,2022/5/20 8:12:31,TRUE,0.3739833333,1,42532,42532
8,TTWK000542703,2022/5/20 8:12:10,2022/5/20 8:13:08,TRUE,0.9706,1,42436,42436
9,TTWK000542701,2022/5/20 8:12:45,2022/5/20 8:13:15,TRUE,0.5098666667,1,42532,42532
10,TTWK000542695,2022/5/20 8:13:33,2022/5/20 8:14:07,TRUE,0.5707333333,1,42532,42532
11,TTWK000542694,2022/5/20 8:14:29,2022/5/20 8:14:54,TRUE,0.4073166667,1,42532,42532
12,TTWK000542699,2022/5/20 8:15:05,2022/5/20 8:17:25,TRUE,2.331416667,1,42532,42532
13,TTWK000542698,2022/5/20 8:15:15,2022/5/20 8:17:10,TRUE,1.921566667,1,42532,42532
14,TTWK000542704,2022/5/20 8:15:21,2022/5/20 8:15:41,TRUE,0.3443666667,1,42436,42436
15,TTWK000542697,2022/5/20 8:17:34,2022/5/20 8:18:58,TRUE,1.392216667,1,42532,42532
16,TTWK000542696,2022/5/20 8:17:43,2022/5/20 8:19:09,TRUE,1.427366667,1,42532,42532
17,TTWK000536472,2022/5/20 8:18:03,2022/5/20 8:22:49,TRUE,4.75465,1,42436,42436
18,TTWK000538696,2022/5/20 8:19:41,2022/5/20 8:20:31,TRUE,0.8322166667,1,42532,42532
19,TTWK000538695,2022/5/20 8:20:43,2022/5/20 8:21:27,TRUE,0.7393166667,1,42532,42532
20,TTWK000542693,2022/5/20 8:21:38,2022/5/20 8:22:35,TRUE,0.9549333333,1,42532,42532
21,TTWK000536462,2022/5/20 8:22:44,2022/5/20 8:26:01,TRUE,3.28145,1,42532,42532
22,TTWK000542707,2022/5/20 8:23:19,2022/5/20 8:24:21,TRUE,1.033983333,1,42436,42436
23,TTWK000542708,2022/5/20 8:24:49,2022/5/20 8:25:21,TRUE,0.5349,1,42436,42436
24,TTWK000542692,2022/5/20 8:26:20,2022/5/20 8:27:10,TRUE,0.84155,1,42532,42532
25,TTWK000559790,2022/5/20 8:26:20,2022/5/20 8:27:55,TRUE,1.581,1,42436,42436
26,TTWK000559794,2022/5/20 8:27:25,2022/5/20 8:28:09,TRUE,0.7224,1,42532,42532
27,TTWK000542717,2022/5/20 8:28:24,2022/5/20 8:29:15,TRUE,0.8494166667,1,42532,42532
28,TTWK000542709,2022/5/20 8:28:58,2022/5/20 8:29:55,TRUE,0.9480333333,1,42436,42436
29,TTWK000559763,2022/5/20 8:29:32,2022/5/20 8:31:14,TRUE,1.705616667,1,42532,42532
30,TTWK000559791,2022/5/20 8:30:29,2022/5/20 8:31:35,TRUE,1.105916667,1,42436,42436
31,TTWK000542713,2022/5/20 8:31:36,2022/5/20 8:33:01,TRUE,1.411966667,1,42532,42532
32,TTWK000542710,2022/5/20 8:31:50,2022/5/20 8:32:43,TRUE,0.88325,1,42436,42436
33,TTWK000536473,2022/5/20 8:33:06,2022/5/20 8:36:20,TRUE,3.2203,1,42436,42436
34,TTWK000542712,2022/5/20 8:33:14,2022/5/20 8:34:19,TRUE,1.078383333,1,42532,42532
35,TTWK000559793,2022/5/20 8:34:30,2022/5/20 8:36:08,TRUE,1.637866667,1,42532,42532
36,TTWK000559792,2022/5/20 8:36:17,2022/5/20 8:37:22,TRUE,1.070316667,1,42532,42532
37,TTWK000538707,2022/5/20 8:36:51,2022/5/20 8:40:15,TRUE,3.3965,1,42436,42436
38,TTWK000542711,2022/5/20 8:37:37,2022/5/20 8:38:29,TRUE,0.8702166667,1,42532,42532
39,TTWK000559797,2022/5/20 8:38:37,2022/5/20 8:39:50,TRUE,1.218933333,1,42532,42532
40,TTWK000559778,2022/5/20 8:40:09,2022/5/20 8:41:45,TRUE,1.593066667,1,42532,42532
41,TTWK000559799,2022/5/20 8:40:17,2022/5/20 8:41:54,TRUE,1.60275,1,42532,42532
42,TTWK000542718,2022/5/20 8:40:26,2022/5/20 8:42:03,TRUE,1.624833333,1,42532,42532
43,TTWK000542719,2022/5/20 8:40:37,,尚未完成,,1,42436,42436
44,TTWK000559802,2022/5/20 8:40:37,2022/5/20 8:42:13,TRUE,1.60095,1,42532,42532
45,TTWK000538706,2022/5/20 8:41:19,2022/5/20 8:43:25,TRUE,2.100783333,1,42436,42436
