,是否印標,印標人員,Tracking ID,尾碼,SKU ID,Counting Qty,Unnamed: 6,Tracking ID.1,Gruop ID,Status,Sku ID,Sku Name,Countign Qty,Supplier ID,Supplier Name,Unnamed: 15,領標時間,DATE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,V,103001.0,TTWK000519468,27,11025859427_56922600628,20.0,11025859427,TTWK000519468,GINTWK0002203100100,Counted,11025859427_56922600628,36法郎 典藏咖啡系列240ml(24入/箱) 兩款任選 現貨 蝦皮直送:典藏拿堤,20.0,正常,20.0,NO,sp2771@shopee.com,2022-03-11 08:23:26,721806,TW_味全食品工業股份有限公司(Consignment),詳情質檢,,,,
1,V,103001.0,TTWK000519467,28,11025859428_56922600634,100.0,11025859428,TTWK000519467,GINTWK0002203100212,Counted,11025859428_56922600634,貝納頌 經典罐裝咖啡系列210mlx24入四種選擇 現貨 蝦皮直送:黑咖啡,100.0,正常,100.0,NO,sp2771@shopee.com,2022-03-11 08:22:17,721806,TW_味全食品工業股份有限公司(Consignment),詳情質檢,詳情質檢,,,
2,V,103001.0,TTWK000502291,44,10625226044_84140909877,2.0,10625226044,TTWK000502291,GINTWK0002203100416,Counted,10625226044_84140909877,HJ-MINI1 行動電源 10000mAh 數字顯示 小體積大容量 隨身行動充 公司貨 蝦皮直送:珊瑚色,2.0,Exception,2.0,NO,sp0851@shopee.com,2022-03-11 08:20:27,749895,TW_宏晉科技股份有限公司(Consignment),詳情,詳情,,,
3,V,103001.0,TTWK000470343,14,10425916414_94170008609,10.0,10425916414,TTWK000470343,GINTWK0002203100409,Counted,10425916414_94170008609,刷樂 Shallop 纖柔護齦牙刷 6入 現貨 蝦皮直送:6入,10.0,正常,10.0,NO,sp3341@shopee.com,2022-03-11 08:20:14,1188152,TW_刷樂國際股份有限公司(Consignment),詳情質檢,詳情質檢,,,
4,V,103001.0,TTWK000519460,44,10625226044_84140909877,18.0,10625226044,TTWK000519460,GINTWK0002203100416,Counted,10625226044_84140909877,HJ-MINI1 行動電源 10000mAh 數字顯示 小體積大容量 隨身行動充 公司貨 蝦皮直送:珊瑚色,18.0,正常,18.0,NO,sp0851@shopee.com,2022-03-11 08:19:03,749895,TW_宏晉科技股份有限公司(Consignment),詳情質檢,詳情質檢,,,
5,V,103001.0,TTWK000523706,79,10525958579_94170787687,24.0,10525958579,TTWK000523706,GINTWK0002203100407,Counted,10525958579_94170787687,刷樂 Shallop 扁線牙線棒1000支 現貨 蝦皮直送:1000支,24.0,正常,24.0,NO,sp3341@shopee.com,2022-03-11 08:18:04,1188152,TW_刷樂國際股份有限公司(Consignment),詳情質檢,詳情質檢,,,
6,V,103001.0,TTWK000519462,16,8389161416_36905088311,190.0,8389161416,TTWK000519462,GINTWK0002203100422,Counted,8389161416_36905088311,Dr.Hsieh達特醫30%杏仁酸抗痘凝膠(達克痘)20ml 現貨 蝦皮直送:一入,190.0,正常,190.0,NO,sp0386@shopee.com,2022-03-11 08:17:14,752365,TW_洸鼎生物科技有限公司(Consignment),詳情質檢,詳情質檢,,,
7,V,103001.0,TTWK000470345,16,8389161416_36905088311,10.0,8389161416,TTWK000470345,GINTWK0002203100422,Counted,8389161416_36905088311,Dr.Hsieh達特醫30%杏仁酸抗痘凝膠(達克痘)20ml 現貨 蝦皮直送:一入,10.0,正常,10.0,NO,sp0386@shopee.com,2022-03-11 08:16:48,752365,TW_洸鼎生物科技有限公司(Consignment),詳情質檢,詳情質檢,,,
8,V,103001.0,TTWK000519465,32,11825863432_76922580571,40.0,11825863432,TTWK000519465,GINTWK0002203100099,Counted,11825863432_76922580571,貝納頌 原味咖啡/經典榛果風味拿鐵/重乳拿鐵/咖啡深焙拿鐵 375ml(24入/箱) 咖啡中的極品 現貨 蝦皮直送:重乳拿鐵(24入/箱),40.0,正常,40.0,NO,sp2771@shopee.com,2022-03-11 08:15:56,721806,TW_味全食品工業股份有限公司(Consignment),詳情質檢,詳情質檢,,,
9,V,103001.0,TTWK000519466,32,11825863432_76922580571,60.0,11825863432,TTWK000519466,GINTWK0002203100099,Counted,11825863432_76922580571,貝納頌 原味咖啡/經典榛果風味拿鐵/重乳拿鐵/咖啡深焙拿鐵 375ml(24入/箱) 咖啡中的極品 現貨 蝦皮直送:重乳拿鐵(24入/箱),60.0,正常,60.0,NO,sp2771@shopee.com,2022-03-11 08:15:41,721806,TW_味全食品工業股份有限公司(Consignment),詳情質檢,詳情質檢,,,
10,V,103001.0,TTWK000523707,13,6497237913_46905232346,10.0,6497237913,TTWK000523707,GINTWK0002203100415,Counted,6497237913_46905232346,五段電動牙刷 (黑/粉/藍/白) 蝦皮直送 現貨:白色,10.0,正常,10.0,NO,sp0851@shopee.com,2022-03-11 08:12:02,749895,TW_宏晉科技股份有限公司(Consignment),詳情質檢,詳情質檢,,,
11,V,103001.0,TTWK000523704,95,4797372395_111417334518,12.0,4797372395,TTWK000523704,GINTWK0002203100411,Counted,4797372395_111417334518,刷樂 Shallop 炭密清新牙刷 3入 現貨 蝦皮直送:3入,12.0,正常,12.0,NO,sp3341@shopee.com,2022-03-11 08:11:39,1188152,TW_刷樂國際股份有限公司(Consignment),詳情質檢,詳情質檢,,,
12,V,103001.0,TTWK000502290,50,5797247650_66905092461,2.0,5797247650,TTWK000502290,GINTWK0002203100289,Counted,5797247650_66905092461,E-books D27 重低音喇叭 2.1聲道 多媒體喇叭 木質喇叭 電腦音箱 手機音箱 筆電音箱 現貨 蝦皮直送,2.0,Exception,2.0,NO,sp99073@shopee.com,2022-03-11 08:11:10,743331,TW_中景科技股份有限公司(Consignment),詳情,詳情,,,
13,V,103001.0,TTWK000523702,50,5797247650_66905092461,3.0,5797247650,TTWK000523702,GINTWK0002203100289,Counted,5797247650_66905092461,E-books D27 重低音喇叭 2.1聲道 多媒體喇叭 木質喇叭 電腦音箱 手機音箱 筆電音箱 現貨 蝦皮直送,3.0,正常,3.0,NO,sp99073@shopee.com,2022-03-11 08:10:59,743331,TW_中景科技股份有限公司(Consignment),詳情質檢,詳情質檢,,,
14,V,103001.0,TTWK000523703,20,10625917920_84170059095,12.0,10625917920,TTWK000523703,GINTWK0002203100408,Counted,10625917920_84170059095,刷樂 Shallop 扁線牙線棒 400支 現貨 蝦皮直送:1包,12.0,正常,12.0,NO,sp3341@shopee.com,2022-03-11 08:09:24,1188152,TW_刷樂國際股份有限公司(Consignment),詳情質檢,詳情質檢,,,
15,V,103001.0,TTWK000519461,44,10625226044_84140909874,50.0,10625226044,TTWK000519461,GINTWK0002203100414,Counted,10625226044_84140909874,HJ-MINI1 行動電源 10000mAh 數字顯示 小體積大容量 隨身行動充 公司貨 蝦皮直送:黑色,50.0,正常,50.0,NO,sp0851@shopee.com,2022-03-11 08:30:01,749895,TW_宏晉科技股份有限公司(Consignment),詳情質檢,,,,
16,V,103001.0,TTWK000519458,14,10425916414_94170008609,62.0,10425916414,TTWK000519458,GINTWK0002203100409,Counted,10425916414_94170008609,刷樂 Shallop 纖柔護齦牙刷 6入 現貨 蝦皮直送:6入,62.0,正常,62.0,NO,sp3341@shopee.com,2022-03-11 08:28:10,1188152,TW_刷樂國際股份有限公司(Consignment),詳情質檢,詳情質檢,,,
17,V,103001.0,TTWK000519470,13,10225972613_94170994850,30.0,10225972613,TTWK000519470,GINTWK0002203100155,Counted,10225972613_94170994850,Avila阿維拉 強碳酸氣泡水500ml(24入/箱) 氣泡水 現貨 蝦皮直送,30.0,正常,30.0,NO,sp2771@shopee.com,2022-03-11 08:28:06,721806,TW_味全食品工業股份有限公司(Consignment),詳情質檢,詳情質檢,,,
18,V,103001.0,TTWK000523710,10,11325224110_84140755424,50.0,11325224110,TTWK000523710,GINTWK0002203100423,Counted,11325224110_84140755424,Dr.Hsieh達特醫 25%杏仁酸深層煥膚精華1+1組 現貨 蝦皮直送:25%杏仁酸15ml+30ml,50.0,正常,50.0,NO,sp0386@shopee.com,2022-03-11 08:26:08,752365,TW_洸鼎生物科技有限公司(Consignment),詳情質檢,詳情質檢,,,
19,V,103001.0,TTWK000519469,28,11025859428_56922600633,50.0,11025859428,TTWK000519469,GINTWK0002203100154,Counted,11025859428_56922600633,貝納頌 經典罐裝咖啡系列210mlx24入四種選擇 現貨 蝦皮直送:經典咖啡,50.0,正常,50.0,NO,sp2771@shopee.com,2022-03-11 08:26:02,721806,TW_味全食品工業股份有限公司(Consignment),詳情質檢,詳情質檢,,,
20,V,103001.0,TTWK000519463,47,9389160547_84140769463,50.0,9389160547,TTWK000519463,GINTWK0002203100380,Counted,9389160547_84140769463,Dr.Hsieh達特醫 15%杏仁酸深層煥膚精華1+1組 現貨 蝦皮直送:精華1+1組,50.0,正常,50.0,NO,sp0386@shopee.com,2022-03-11 08:33:08,752365,TW_洸鼎生物科技有限公司(Consignment),詳情質檢,,,,
