,是否印標,印標人員,Tracking ID,尾碼,SKU ID,Counting Qty,Unnamed: 6,Tracking ID.1,Gruop ID,Status,Sku ID,Sku Name,Countign Qty,Supplier ID,Supplier Name,Unnamed: 15,領標時間,DATE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,V,42525,TTWK000530825,05,11525980405_84171137645,60.0,11525980405,TTWK000530825,GINTWK0002203310023,Checking,11525980405_84171137645,日本日清Nissin 大盛裝日式炒麵 (豚香醬油味) 豪氣大份量 日本泡麵 現貨 蝦皮直送:豚香醬油味,60.0,正常,60.0,NO,sp99037@shopee.com,2022-03-31 10:05:56,677882.0,TW_正暉股份有限公司(Consignment),詳情質檢,,
1,V,42525,TTWK000529797,15,11825946015_101418094657,6.0,11825946015,TTWK000529797,GINTWK0002203310064,Counted,11825946015_101418094657,韓國ibobomi 嬰兒米餅 原味/蘋果/菠菜/紫薯/(海苔味/藍莓味 30g 韓國原裝進口 熱銷嬰兒餅乾 蝦皮直送:海苔味,6.0,正常,6.0,NO,sp99029@shopee.com,2022-03-31 10:05:20,960013.0,TW_雅客貿易有限公司(Consignment),詳情質檢,詳情質檢,
2,V,42525,TTWK000530835,25,13655808625_122629441372,16.0,13655808625,TTWK000530835,GINTWK0002203310028,Counted,13655808625_122629441372,Tyrrell's泰勒思 英國洋芋片150g 洋芋片 英國零食 蝦皮直送 現貨 (部分即期):無調味,16.0,正常,16.0,NO,sp99073@shopee.com,2022-03-31 10:05:14,677882.0,TW_正暉股份有限公司(Consignment),詳情質檢,詳情質檢,
3,V,42525,TTWK000530829,99,10425895999_84169562945,24.0,10425895999,TTWK000530829,GINTWK0002203310034,Checked,10425895999_84169562945,良澔 厚蛋捲(210g) 濃郁的蛋香 口感超厚實 蝦皮直送 現貨:厚蛋捲(210g),24.0,正常,24.0,NO,sp99037@shopee.com,2022-03-31 10:04:24,1165050.0,TW_棠洋國際企業有限公司(Consignment),詳情入庫驗收,詳情入庫驗收,
4,V,42525,TTWK000530832,15,11825946015_101418094653,6.0,11825946015,TTWK000530832,GINTWK0002203310063,Counted,11825946015_101418094653,韓國ibobomi 嬰兒米餅 原味/蘋果/菠菜/紫薯/(海苔味/藍莓味 30g 韓國原裝進口 熱銷嬰兒餅乾 蝦皮直送:原味,6.0,正常,6.0,NO,sp99029@shopee.com,2022-03-31 10:04:16,960013.0,TW_雅客貿易有限公司(Consignment),詳情質檢,詳情質檢,
5,V,42525,TTWK000530827,18,10425971018_101418695403,20.0,10425971018,TTWK000530827,GINTWK0002203310049,Counted,10425971018_101418695403,韓國Paldo 八道泡菜先生 (手作泡菜湯麵/乾拌麵) 正宗道地傳統泡菜 韓國泡麵 蝦皮直送 現貨:手作泡菜湯麵(4包/袋),20.0,正常,20.0,NO,sp3341@shopee.com,2022-03-31 10:03:09,1165050.0,TW_棠洋國際企業有限公司(Consignment),詳情質檢,詳情質檢,
6,V,42525,TTWK000530831,15,11825946015_101418094655,6.0,11825946015,TTWK000530831,GINTWK0002203310062,Counted,11825946015_101418094655,韓國ibobomi 嬰兒米餅 原味/蘋果/菠菜/紫薯/(海苔味/藍莓味 30g 韓國原裝進口 熱銷嬰兒餅乾 蝦皮直送:菠菜味,6.0,正常,6.0,NO,sp99029@shopee.com,2022-03-31 10:02:59,960013.0,TW_雅客貿易有限公司(Consignment),詳情質檢,詳情質檢,
7,V,42525,TTWK000529787,14,11570233114_132143280250,36.0,11570233114,TTWK000529787,GINTWK0002203310025,Counted,11570233114_132143280250,日本日清Nissin 明星一平夜店炒麵日式醬汁味/鹽味 速食麵 泡麵 日式炒麵 炒麵 蝦皮直送 現貨:鹽味,36.0,正常,36.0,NO,sp99073@shopee.com,2022-03-31 10:02:25,677882.0,TW_正暉股份有限公司(Consignment),詳情質檢,詳情質檢,
8,V,42525,TTWK000529790,69,10425895969_27216968650,8.0,10425895969,TTWK000529790,GINTWK0002203310033,Checked,10425895969_27216968650,韓國八道 Paldo 香辣芝麻濃湯拉麵/極地麻辣鐵板炒麵/三鮮炸醬麵/石鍋海鮮湯麵/火麵(4包/袋) 蝦皮直送 現貨:香辣芝麻濃湯拉麵(4包/袋),8.0,正常,8.0,NO,sp99037@shopee.com,2022-03-31 10:01:23,1165050.0,TW_棠洋國際企業有限公司(Consignment),詳情入庫驗收,詳情入庫驗收,
9,V,42525,TTWK000530828,74,15261459874_170807415802,4.0,15261459874,TTWK000530828,GINTWK0002203310065,Counted,15261459874_170807415802,Maeil造型米餅 心造型香蕉南瓜味/圈造型白葡萄青花菜味/花造型紫薯草莓味 25g 現貨 蝦皮直送:圈造型白葡萄青花菜味,4.0,正常,4.0,NO,sp99029@shopee.com,2022-03-31 10:01:19,960013.0,TW_雅客貿易有限公司(Consignment),詳情質檢,詳情質檢,
